w::1 - - [12/May/2025:00:58:54 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab HTTP/1.1" 400 69
::1 - - [15/May/2025:19:53:37 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:19:53:38 +0000] "GET /api/rooms/my HTTP/1.1" 304 -
::1 - - [15/May/2025:19:53:40 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:19:53:40 +0000] "GET /api/rooms/my HTTP/1.1" 304 -
::1 - - [15/May/2025:19:53:41 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:19:53:41 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:19:53:41 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:19:53:43 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:19:53:43 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:19:53:47 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:19:53:48 +0000] "GET /api/rooms/my HTTP/1.1" 304 -
::1 - - [15/May/2025:19:53:49 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:19:53:49 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:19:53:49 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:19:53:49 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:19:53:49 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:19:53:54 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74?cursor=7d6b2bee-69ff-4791-b3b6-faaf2607a2b2 HTTP/1.1" 304 -
::1 - - [15/May/2025:19:53:59 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74?cursor=2f4be709-bea6-4a2b-a971-c75666032522 HTTP/1.1" 304 -
::1 - - [15/May/2025:19:54:01 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74?cursor=c8f039de-c168-4671-b988-91a9e8a33787 HTTP/1.1" 304 -
::1 - - [15/May/2025:19:54:03 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74?cursor=c8f039de-c168-4671-b988-91a9e8a33787 HTTP/1.1" 304 -
::1 - - [15/May/2025:19:54:19 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74?cursor=c8f039de-c168-4671-b988-91a9e8a33787 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:12:04 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:12:04 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:12:05 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:15 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:15 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:16 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:16 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:29 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:30 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:30 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:30 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:31 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:31 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:32 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:32 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:34 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:34 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:34 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:40 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:40 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:40 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:51 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:51 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:52 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:52 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:53 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:53 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:54 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:13:54 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:14:07 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:14:07 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:14:08 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:14:08 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:15:27 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:15:27 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:15:27 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:19:46 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:19:46 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:19:46 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:08 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:08 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:09 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:27 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:27 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:27 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:34 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:34 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:34 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:38 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:38 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:38 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:39 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:39 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:39 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:55 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:55 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:20:55 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:21:08 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:21:08 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:21:08 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
::1 - - [15/May/2025:20:21:12 +0000] "GET /api/auth/me?getFullData=true HTTP/1.1" 304 -
::1 - - [15/May/2025:20:21:12 +0000] "GET /api/auth/me?getFullData=false HTTP/1.1" 304 -
::1 - - [15/May/2025:20:21:12 +0000] "GET /api/rooms/8350d8b9-ee6b-4ec7-bba8-b734bdedab74 HTTP/1.1" 304 -
